event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2024-05-13 05:53:00.000,2024-05-13 05:57:00.000,2024-05-13 06:01:00.000,C5.3,13664
2024-05-13 07:21:00.000,2024-05-13 07:35:00.000,2024-05-13 07:45:00.000,C6.4,13676
2024-05-13 08:06:00.000,2024-05-13 08:20:00.000,2024-05-13 08:23:00.000,M1.2,13664
2024-05-13 08:23:00.000,2024-05-13 08:29:00.000,2024-05-13 08:33:00.000,M1.4,13664
2024-05-13 08:48:00.000,2024-05-13 09:44:00.000,2024-05-13 10:57:00.000,M6.6,13664
2024-05-13 12:56:00.000,2024-05-13 13:11:00.000,2024-05-13 13:23:00.000,M3.7,13664
2024-05-13 17:32:00.000,2024-05-13 17:47:00.000,2024-05-13 18:23:00.000,M1.0,13674
2024-05-13 21:48:00.000,2024-05-13 21:59:00.000,2024-05-13 22:07:00.000,M1.5,13664
2024-05-14 02:03:00.000,2024-05-14 02:09:00.000,2024-05-14 02:19:00.000,X1.7,13664
2024-05-14 12:40:00.000,2024-05-14 12:55:00.000,2024-05-14 13:05:00.000,X1.2,13664
2024-05-14 15:16:00.000,2024-05-14 15:28:00.000,2024-05-14 15:40:00.000,C9.6,13664
2024-05-14 16:46:00.000,2024-05-14 16:51:00.000,2024-05-14 17:02:00.000,X8.7,13664
2024-05-14 17:25:00.000,2024-05-14 17:38:00.000,2024-05-14 18:18:00.000,M4.4,13682
2024-05-14 23:02:00.000,2024-05-14 23:14:00.000,2024-05-14 23:39:00.000,C7.2,13679
